Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:10,07:50,13:41,16:50,19:33,20:58
2,06:12,07:52,13:41,16:49,19:31,20:56
3,06:13,07:53,13:41,16:47,19:29,20:54
4,06:14,07:55,13:40,16:45,19:27,20:52
5,06:15,07:56,13:40,16:44,19:25,20:50
6,06:17,07:58,13:40,16:42,19:23,20:48
7,06:18,07:59,13:39,16:41,19:21,20:46
8,06:19,08:01,13:39,16:39,19:19,20:45
9,06:20,08:02,13:39,16:38,19:17,20:43
10,06:22,08:04,13:39,16:36,19:15,20:41
11,06:23,08:05,13:38,16:35,19:13,20:39
12,06:24,08:07,13:38,16:33,19:11,20:38
13,06:26,08:08,13:38,16:31,19:09,20:36
14,06:27,08:10,13:38,16:30,19:07,20:34
15,06:28,08:11,13:37,16:28,19:05,20:32
16,06:29,08:13,13:37,16:27,19:03,20:31
17,06:31,08:14,13:37,16:25,19:01,20:29
18,06:32,08:16,13:37,16:24,18:59,20:27
19,06:33,08:17,13:37,16:22,18:57,20:26
20,06:34,08:19,13:36,16:21,18:55,20:24
21,06:36,08:20,13:36,16:19,18:53,20:23
22,06:37,08:22,13:36,16:18,18:51,20:21
23,06:38,08:23,13:36,16:16,18:49,20:20
24,06:39,08:25,13:36,16:15,18:48,20:18
25,05:41,07:27,12:36,15:14,17:46,19:16
26,05:42,07:28,12:36,15:12,17:44,19:15
27,05:43,07:30,12:36,15:11,17:42,19:13
28,05:44,07:31,12:36,15:09,17:40,19:11
29,05:46,07:33,12:35,15:08,17:39,19:10
30,05:47,07:34,12:35,15:07,17:37,19:08
31,05:49,07:36,12:35,15:05,17:35,19:07
